template,quantidade,designer,data,hora
OLIMPIADAS 2024 RODAPE GENERICO,1,jbillard,31/07/2024,10:55
OLIMPIADAS 2024 RODAPE MEDALHA,1,jbillard,31/07/2024,11:49
OLIMPIADAS 2024 RODAPE GENERICO,3,ycorrea,31/07/2024,22:40
OLIMPIADAS 2024 CONFRONTO,2,ycorrea,31/07/2024,22:48
OLIMPIADAS 2024 CONFRONTO,2,ycorrea,31/07/2024,22:49
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,31/07/2024,22:53
OLIMPIADAS 2024 CARTAO GENERICO,1,ycorrea,31/07/2024,23:03
OLIMPIADAS 2024 CONFRONTO,2,grodriguez,31/07/2024,23:16
OLIMPIADAS 2024 RODAPE GENERICO,4,grodriguez,31/07/2024,23:19
OLIMPIADAS 2024 CONFRONTO,2,grodriguez,31/07/2024,23:23
OLIMPIADAS 2024 CONFRONTO VARIACAO,1,grodriguez,31/07/2024,23:27
OLIMPIADAS 2024 CONFRONTO,1,grodriguez,31/07/2024,23:27
OLIMPIADAS 2024 CONFRONTO,1,grodriguez,31/07/2024,23:31
OLIMPIADAS 2024 CARTAO GENERICO,3,grodriguez,31/07/2024,23:38
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,3,grodriguez,31/07/2024,23:41
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,4,grodriguez,31/07/2024,23:44
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,grodriguez,31/07/2024,23:47
OLIMPIADAS 2024 CONFRONTO,1,mnathan,01/08/2024,10:55
OLIMPIADAS 2024 CONFRONTO,1,mnathan,01/08/2024,10:56
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,jbarao,01/08/2024,21:53
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbarao,01/08/2024,22:01
OLIMPIADAS 2024 RODAPE GENERICO,2,ycorrea,01/08/2024,22:34
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,01/08/2024,22:36
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,01/08/2024,22:37
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,02/08/2024,00:38
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,4,ycorrea,02/08/2024,00:43
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,02/08/2024,00:45
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,00:53
OLIMPIADAS 2024 RODAPE MEDALHA,6,mnathan,02/08/2024,15:50
OLIMPIADAS 2024 RODAPE MEDALHA,3,mnathan,02/08/2024,15:54
OLIMPIADAS 2024 CARTAO GENERICO,1,mnathan,02/08/2024,15:55
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,02/08/2024,16:28
OLIMPIADAS 2024 RODAPE MEDALHA,1,tiamar,02/08/2024,18:54
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,02/08/2024,21:24
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,ycorrea,02/08/2024,21:28
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,2,ycorrea,02/08/2024,21:29
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,ycorrea,02/08/2024,21:41
OLIMPIADAS 2024 RODAPE GENERICO,2,ycorrea,02/08/2024,21:42
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,21:45
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,21:45
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,21:46
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,21:52
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,21:53
OLIMPIADAS 2024 CARTAO GENERICO,1,ycorrea,02/08/2024,22:00
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,22:32
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,22:33
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,02/08/2024,22:34
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,03/08/2024,11:09
OLIMPIADAS 2024 CARTAO GENERICO,1,mnathan,03/08/2024,11:10
OLIMPIADAS 2024 RODAPE MEDALHA,2,mnathan,03/08/2024,24:22
OLIMPIADAS 2024 RODAPE MEDALHA,2,mnathan,03/08/2024,24:23
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,03/08/2024,24:24
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,16:35
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,16:40
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,16:43
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,tiamar,03/08/2024,16:50
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,tiamar,03/08/2024,16:54
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,tiamar,03/08/2024,16:56
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,tiamar,03/08/2024,17:00
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,tiamar,03/08/2024,17:44
OLIMPIADAS 2024 RODAPE MEDALHA,1,tiamar,03/08/2024,17:56
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,tiamar,03/08/2024,19:21
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,19:31
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,19:34
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,19:37
OLIMPIADAS 2024 CONFRONTO,1,tiamar,03/08/2024,19:40
OLIMPIADAS 2024 CONFRONTO,1,vamendes,04/08/2024,17:51
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,vamendes,04/08/2024,19:05
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,vamendes,04/08/2024,19:05
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,vamendes,04/08/2024,19:09
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,vamendes,04/08/2024,19:10
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,vamendes,04/08/2024,19:11
OLIMPIADAS 2024 CONFRONTO,1,vamendes,04/08/2024,19:13
OLIMPIADAS 2024 CONFRONTO,1,vamendes,04/08/2024,19:16
OLIMPIADAS 2024 CONFRONTO,1,vamendes,04/08/2024,19:22
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,vamendes,04/08/2024,19:26
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,vamendes,04/08/2024,19:29
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,vamendes,04/08/2024,19:32
OLIMPIADAS 2024 CONFRONTO,1,vamendes,04/08/2024,19:39
OLIMPIADAS 2024 CARTAO GENERICO,3,jbarao,05/08/2024,19:49
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,grodriguez,05/08/2024,21:03
OLIMPIADAS 2024 RODAPE GENERICO,1,grodriguez,05/08/2024,21:05
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,3,grodriguez,05/08/2024,21:07
OLIMPIADAS 2024 CONFRONTO,1,grodriguez,05/08/2024,21:17
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,grodriguez,05/08/2024,21:18
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,3,grodriguez,05/08/2024,21:25
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,05/08/2024,21:29
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,05/08/2024,21:31
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,ycorrea,05/08/2024,21:31
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,05/08/2024,21:34
OLIMPIADAS 2024 CONFRONTO,1,ycorrea,05/08/2024,21:43
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,05/08/2024,21:45
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,mnathan,06/08/2024,08:58
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,jbillard,06/08/2024,09:14
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,ycorrea,06/08/2024,22:41
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,5,jbarao,06/08/2024,22:55
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,5,jbarao,06/08/2024,22:59
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,jbarao,06/08/2024,23:17
OLIMPIADAS 2024 CONFRONTO,2,jbarao,07/08/2024,00:03
OLIMPIADAS 2024 RODAPE GENERICO,4,grodriguez,08/07/2024,12:11
OLIMPIADAS 2024 RODAPE GENERICO,1,mnathan,08/07/2024,09:28
OLIMPIADAS 2024 RODAPE GENERICO,4,mnathan,08/07/2024,09:36
OLIMPIADAS 2024 CONFRONTO,1,mnathan,08/07/2024,09:41
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,08/07/2024,13:11
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,08/07/2024,15:33
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,08/07/2024,15:37
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,grodriguez,08/07/2024,20:58
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,08/08/2024,16:07
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,2,mfaustin,08--24,20:30
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,09/08/2024,08:59
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,2,mnathan,09/08/2024,10:48
OLIMPIADAS 2024 RODAPE GENERICO,2,mnathan,09/08/2024,10:57
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,4,mnathan,09/08/2024,11:01
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,4,mnathan,09/08/2024,11:05
OLIMPIADAS 2024 CONFRONTO,2,mnathan,09/08/2024,11:08
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,3,mnathan,09/08/2024,11:14
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,09/08/2024,11:17
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,09/08/2024,11:18
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,09/08/2024,11:19
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,09/08/2024,11:21
OLIMPIADAS 2024 RODAPE CATEGORIA ESPORTIVA,1,mnathan,09/08/2024,11:22
OLIMPIADAS 2024 RODAPE MEDALHA,1,crlima,09/08/2024,15:25
OLIMPIADAS 2024 RODAPE MEDALHA,1,mnathan,09/08/2024,16:53
OLIMPIADAS 2024 RODAPE MEDALHA,2,jbarao,09/08/2024,18:45
OLIMPIADAS 2024 CARTAO GENERICO,1,tiamar,09/08/2024,23:35
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,tiamar,09/08/2024,23:37
OLIMPIADAS 2024 CARTAO SERVICO DIA HORA,1,tiamar,09/08/2024,23:39
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,crlima,10/08/2024,01:58
OLIMPIADAS 2024 CARTAO CATEGORIA ESPORTIVA,1,crlima,10/08/2024,01:59
OLIMPIADAS 2024 RODAPE MEDALHA,1,crlima,10/08/2024,02:02
